"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","confidence","Degree","Eccentricity","IsSingleNode","kingdom","name","NeighborhoodConnectivity","Node_Status","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","taxonomy","TopologicalCoefficient"
"957","5.1659919","0.01409386","0.19357367","0.0","0.83446072","4","8","false","Fungi","eabca7f74185ffe64a86e6ff2688dcfc","3.0","Clustered","4","0",,,"0","0.58340081","false","0","eabca7f74185ffe64a86e6ff2688dcfc","1962","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__Periconia_macrospinosa","0.28571429"
"198","5.37246964","0.01248087","0.18613414","0.0","0.999967467","4","9","false","Bacteria","03fc505868cc6d769bac45fc52e3aa12","3.25","Clustered","4","0",,,"0","0.56275304","false","0","03fc505868cc6d769bac45fc52e3aa12","1816","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__","0.32142857"
"199","5.34412955","0.00522168","0.18712121","0.0","0.999999465","2","8","false","Bacteria","1680d1d6fadb9f3b681145a0ff19d692","3.5","Clustered","2","0",,,"0","0.56558704","false","0","1680d1d6fadb9f3b681145a0ff19d692","664","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","0.5"
"201","5.5708502","0.00542932","0.17950581","0.0","0.999999633","3","9","false","Bacteria","86c20e824bc6aa55f399e59286957cba","3.33333333","Clustered","3","0",,,"0","0.54291498","false","0","86c20e824bc6aa55f399e59286957cba","790","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","0.38888889"
"866","4.1417004","0.03908213","0.24144673","0.1","0.995214513","5","7","false","Fungi","9ceadad06d75e147e2d53f0c8db638de","5.6","Clustered","5","0",,,"0","0.68582996","false","0","9ceadad06d75e147e2d53f0c8db638de","5470","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales","0.22727273"
"850","3.8097166","0.11364531","0.26248672","0.08333333","0.852692951","9","7","false","Fungi","8d7905c6b16a8d64e4b04aa8c3eb7699","4.66666667","Clustered","9","0",,,"0","0.71902834","false","0","8d7905c6b16a8d64e4b04aa8c3eb7699","13588","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_lignicola","0.14074074"
"867","4.22672065","0.04702422","0.23659004","0.1","0.839412452","5","7","false","Fungi","4a583adb7f73aee01cef4bf8cb6f153b","5.0","Clustered","5","0",,,"0","0.67732794","false","0","4a583adb7f73aee01cef4bf8cb6f153b","6908","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora;s__unidentified","0.24444444"
"202","4.19838057","0.01805263","0.23818708","0.33333333","0.999996626","4","7","false","Bacteria","da9e6a2b670b12f57a626d2f3383cad0","5.75","Clustered","4","0",,,"0","0.68016194","false","0","da9e6a2b670b12f57a626d2f3383cad0","2910","k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae","0.30555556"
"203","4.37651822","0.02456468","0.22849214","0.0","0.999974043","5","8","false","Bacteria","41f1529d49318279a172d84038b79ee4","4.2","Clustered","5","0",,,"0","0.66234818","false","0","41f1529d49318279a172d84038b79ee4","3752","k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae","0.21333333"
"204","3.97165992","0.06768107","0.25178389","0.0","0.999778436","7","7","false","Bacteria","520a0880d9a3cc641e11f19cb7f9569e","4.42857143","Clustered","7","0",,,"0","0.70283401","false","0","520a0880d9a3cc641e11f19cb7f9569e","8494","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__","0.14906832"
