SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
151,5.7,0.00342496,0.1754386,0.66666667,0.999975062,3,11,FALSE,Bacteria,0ad1923764af1e7a083e0c6a7087ad65,3.66666667,Clustered,3,0.60833333,FALSE,0,0ad1923764af1e7a083e0c6a7087ad65,310,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae,0.52380952
449,5.74736842,0.0186404,0.17399267,0,0.999400015,3,9,FALSE,Bacteria,baf63e46a78e3c6daafc67592af558c7,3.33333333,,3,0.60438596,FALSE,0,baf63e46a78e3c6daafc67592af558c7,1054,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__,0.33333333
100,5.19473684,0.01459726,0.19250253,0,0.999929788,3,10,FALSE,Bacteria,a4099dce6fc71ab784cfafbccecc72a9,3.33333333,Clustered,3,0.6504386,FALSE,0,a4099dce6fc71ab784cfafbccecc72a9,974,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__,0.33333333
850,4.96315789,0.02613615,0.20148462,0,0.852692951,3,8,FALSE,Fungi,8d7905c6b16a8d64e4b04aa8c3eb7699,4,Clustered,3,0.66973684,FALSE,0,8d7905c6b16a8d64e4b04aa8c3eb7699,1554,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_lignicola,0.33333333
443,5.58421053,0.01218294,0.17907634,0,0.999971197,3,9,FALSE,Bacteria,cadc4847dce7b8552f0afc96301f55c5,3.33333333,,3,0.61798246,FALSE,0,cadc4847dce7b8552f0afc96301f55c5,1012,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__; s__,0.38888889
874,4.92631579,0.01396565,0.20299145,0,0.778524583,3,10,FALSE,Fungi,883303246001af6a4d701ba1c7b4abf3,3.66666667,Clustered,3,0.67280702,FALSE,0,883303246001af6a4d701ba1c7b4abf3,1124,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Coniophoraceae;g__Coniophora,0.33333333
91,5.56315789,0.01799229,0.17975402,0,0.999491487,3,10,FALSE,Bacteria,8c78a43745377754c177a37fadd42195,2.33333333,Clustered,3,0.61973684,FALSE,0,8c78a43745377754c177a37fadd42195,1102,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,0.33333333
444,5.84736842,0.02094124,0.1710171,0.33333333,0.862343491,3,10,FALSE,Bacteria,2e19ab616a99bfa85d8b7bd33fd17727,2.66666667,,3,0.59605263,FALSE,0,2e19ab616a99bfa85d8b7bd33fd17727,1180,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,0.46666667
858,4.98421053,0.02233324,0.20063358,0,0.998899328,3,9,FALSE,Fungi,b68738727f7a1c9e241b1534268b0546,3.33333333,Clustered,3,0.66798246,FALSE,0,b68738727f7a1c9e241b1534268b0546,1380,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Gaeumannomyces;s__Gaeumannomyces_radicicola,0.33333333
954,4.87368421,0.0145976,0.20518359,0,0.999995662,3,9,FALSE,Fungi,bb01d42065abd587515b0162708bf98a,3.66666667,Clustered,3,0.67719298,FALSE,0,bb01d42065abd587515b0162708bf98a,922,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Boliniales;f__Boliniales_fam_Incertae_sedis;g__Rhexoacrodictys;s__Rhexoacrodictys_erecta,0.33333333
