SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,NumberOfUndirectedEdges,NumChildren,NumDescendents,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
1023,5.13157895,0.00836215,0.19487179,0,0.999447734,3,8,FALSE,Fungi,c9134033543bea84e32c8c2785bcbb62,3.33333333,Seed,3,0,,,0,0.62440191,FALSE,0,c9134033543bea84e32c8c2785bcbb62,880,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__unidentified;s__unidentified,0.33333333
875,4.71491228,0.00876632,0.21209302,0,0.744379138,3,8,FALSE,Fungi,0c9e5da9ceb207b3591d850c77ec895d,4.33333333,Clustered,3,0,,,0,0.6622807,FALSE,0,0c9e5da9ceb207b3591d850c77ec895d,1252,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum;s__unidentified,0.37037037
1012,4.74122807,0.01305848,0.21091582,0,0.902977011,3,8,FALSE,Fungi,f662e396607aff4078219f0b2aed771b,5,Clustered,3,0,,,0,0.65988836,FALSE,0,f662e396607aff4078219f0b2aed771b,1534,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Scytalidium;s__Scytalidium_sphaerosporum,0.36363636
187,4.97368421,0.00666943,0.2010582,0,0.847815478,2,8,FALSE,Bacteria,0a3ba60be50ed540a3b083c436b2b389,4.5,Clustered,2,0,,,0,0.63875598,FALSE,0,0a3ba60be50ed540a3b083c436b2b389,674,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__; g__; s__,0.5
188,4.55701754,0.02431789,0.21944177,0,0.843308933,5,7,FALSE,Bacteria,d1893c4e373cc371e10ae3c37f05cfe6,3,Clustered,5,0,,,0,0.67663477,FALSE,0,d1893c4e373cc371e10ae3c37f05cfe6,2540,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__; g__; s__,0.22222222
1031,4.6622807,0.04252712,0.2144873,0,0.996692835,5,8,FALSE,Fungi,8feaea96d9d8d8c7dc81779ca75700dc,3.2,Clustered,5,0,,,0,0.66706539,FALSE,0,8feaea96d9d8d8c7dc81779ca75700dc,4130,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales,0.2
189,6.64473684,0,0.15049505,0,0.999971018,1,10,FALSE,Bacteria,add01a8d7e433235adc9b79e70005c0c,2,Clustered,1,0,,,0,0.48684211,FALSE,0,add01a8d7e433235adc9b79e70005c0c,0,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae,0
190,5.64912281,0.00877193,0.17701863,0,0.99997054,2,9,FALSE,Bacteria,580a6be2820ebbcd809ac62479fa7f10,3,Clustered,2,0,,,0,0.57735247,FALSE,0,580a6be2820ebbcd809ac62479fa7f10,800,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae,0.5
1799,4.50877193,0.0465167,0.22178988,0.06666667,0.999999998,6,9,FALSE,Fungi,bc211ea2e5e794c57142374f72dc9530,3.66666667,,6,0,,,0,0.68102073,FALSE,0,bc211ea2e5e794c57142374f72dc9530,4686,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Corynascella;s__Corynascella_humicola,0.1875
1047,4.5745614,0.02335863,0.21860019,0,0.977957454,4,9,FALSE,Fungi,efb1ca5fce5e1f1032c2cd96fe6dc238,4.25,Clustered,4,0,,,0,0.67503987,FALSE,0,efb1ca5fce5e1f1032c2cd96fe6dc238,2350,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__unidentified,0.27083333
